Metadata_well,Metadata_compound,Metadata_concentration
9270,I15,BCC0126402,10mM
9315,I16,BCC0126517,10mM
9360,I17,BCC0126414,10mM
9405,I18,BCC0126518,10mM
9450,I19,BCC0126426,10mM
9495,I20,BCC0126519,10mM
9540,I21,BCC0126379,10mM
9585,I22,BCC0126520,10mM
9630,I23,BCC0126391,10mM
9675,I24,BCC0126521,10mM
9720,J01,DMSO,0
9765,J02,DMSO,0
9810,J03,DMSO,0
9855,J04,DMSO,0
9900,J05,BCC0126444,10mM
9945,J06,DMSO,0
9990,J07,BCC0126456,10mM
10035,J08,DMSO,0
10080,J09,BCC0126468,10mM
10125,J10,DMSO,0
10170,J11,DMSO,0
10215,J12,DMSO,0
10260,J13,DMSO,0
10305,J14,DMSO,0
10350,J15,DMSO,0
10395,J16,DMSO,0
10440,J17,DMSO,0
10485,J18,DMSO,0
10530,J19,DMSO,0
10575,J20,DMSO,0
10620,J21,DMSO,0
10665,J22,DMSO,0
10710,J23,DMSO,0
10755,J24,DMSO,0
10800,K01,DMSO,0
10845,K02,DMSO,0
10890,K03,DMSO,0
10935,K04,DMSO,0
10980,K05,BCC0126403,10mM
11025,K06,BCC0126524,10mM
11070,K07,BCC0126415,10mM
11115,K08,BCC0126525,10mM
11160,K09,BCC0126427,10mM
11205,K10,BCC0126526,10mM
11250,K11,DMSO,0
11295,K12,BCC0126527,10mM
11340,K13,DMSO,0
11385,K14,BCC0126528,10mM
11430,K15,DMSO,0
11475,K16,BCC0126529,10mM
11520,K17,DMSO,0
11565,K18,BCC0126530,10mM
11610,K19,DMSO,0
11655,K20,BCC0126531,10mM
11700,K21,DMSO,0
11745,K22,BCC0126532,10mM
11790,K23,DMSO,0
11835,K24,BCC0126533,10mM
11880,L01,DMSO,0
11925,L02,DMSO,0
11970,L03,DMSO,0
12015,L04,DMSO,0
12060,L05,sp1 cr,10 mg/ml
12105,L06,sp1 eaf,10 mg/ml
12150,L07,sp2,10 mg/ml
12195,L08,sp3,10 mg/ml
12240,L09,acalypha M,50 mg/ml
12285,L10,dombeya ,50 mg/ml
12330,L11,eugenia ,50 mg/ml
12375,L12,gaertnera,50 mg/ml
12420,L13,labourdanaisia,50 mg/ml
12465,L14,bombax,50 mg/ml
12510,L15,Justicia EAF,50 mg/ml
12555,L16,rutidea,50 mg/ml
12600,L17,acalypha N,50 mg/ml
12645,L18,Lemon grapes,50 mg/ml
12690,L19,Magaritara,50 mg/ml
12735,L20,Rutidea,50 mg/ml
12780,L21,punica stem,50 mg/ml
12825,L22,punica leaves,50 mg/ml
12870,L23,punica peel,50 mg/ml
12915,L24,punica flower,50 mg/ml
12960,M01,DMSO,0
13005,M02,DMSO,0
13050,M03,DMSO,0
13095,M04,DMSO,0
13140,M05,DMSO,0
13185,M06,BCC0126536,10mM
13230,M07,DMSO,0
13275,M08,BCC0126537,10mM
13320,M09,DMSO,0
13365,M10,BCC0126538,10mM
13410,M11,DMSO,0
13455,M12,BCC0126539,10mM
13500,M13,DMSO,0
13545,M14,BCC0126540,10mM
13590,M15,DMSO,0
13635,M16,BCC0126541,10mM
13680,M17,DMSO,0
13725,M18,BCC0126542,10mM
13770,M19,DMSO,0
13815,M20,BCC0126543,10mM
13860,M21,DMSO,0
13905,M22,BCC0126544,10mM
13950,M23,DMSO,0
13995,M24,BCC0126545,10mM
14040,N01,DMSO,0
14085,N02,DMSO,0
14130,N03,DMSO,0
14175,N04,DMSO,0
14220,N05,Justicia  DCM/MeOH,50 mg/ml
14265,N06,Macrophylla,50 mg/ml
14310,N07,Acalypha N,50 mg/ml
14355,N08,Pleurotus sp CC114,10 mg/ml
14400,N09,Pleurotus sp CC200,10 mg/ml
14445,N10,Pleurotus sp C201,10 mg/ml
14490,N11,Agaricus sp,10 mg/ml
14535,N12,TDC1,100mg/ml
14580,N13,TDC8,10 mg/ml
14625,N14,TDC3,100mg/ml
14670,N15,TDC4,100mg/ml
14715,N16,TDC5,100mg/ml
14760,N17,TDC7,10 mg/ml
14805,N18,A1,50 mg/ml
14850,N19,A2,50 mg/ml
14895,N20,A3,50 mg/ml
14940,N21,A4,50 mg/ml
14985,N22,A5,50 mg/ml
15030,N23,A6,50 mg/ml
15075,N24,FT-24,10mM
15120,O01,DMSO,0
15165,O02,DMSO,0
15210,O03,DMSO,0
15255,O04,DMSO,0
15300,O05,DMSO,0
15345,O06,BCC0126548,10mM
15390,O07,DMSO,0
15435,O08,BCC0126549,10mM
15480,O09,DMSO,0
15525,O10,BCC0126550,10mM
15570,O11,DMSO,0
15615,O12,BCC0126551,10mM
15660,O13,DMSO,0
15705,O14,BCC0126552,10mM
15750,O15,DMSO,0
15795,O16,BCC0126553,10mM
15840,O17,DMSO,0
15885,O18,BCC0126511,10mM
15930,O19,DMSO,0
15975,O20,BCC0126523,10mM
16020,O21,DMSO,0
16065,O22,BCC0126535,10mM
16110,O23,DMSO,0
16155,O24,BCC0126547,10mM
16200,P01,DMSO,0
16245,P02,DMSO,0
16290,P03,DMSO,0
16335,P04,DMSO,0
16380,P05,cycleanine,10mM
16425,P06,Tetrandrine,10mM
16470,P07,VYB-18 cyclotides,10mM
16515,P08,Palmatine,10mM
16560,P09,AMBQ-165B,10mM
16605,P10,securinine,10mM
16650,P11,DMSO,0
16695,P12,DMSO,0
16740,P13,DMSO,0
16785,P14,DMSO,0
16830,P15,DMSO,0
16875,P16,DMSO,0
16920,P17,DMSO,0
16965,P18,DMSO,0
17010,P19,DMSO,0
17055,P20,DMSO,0
17100,P21,DMSO,0
17145,P22,DMSO,0
17190,P23,DMSO,0
17235,P24,DMSO,0
